ID,Phase,Area,Task,Details,Status,Notes
8.5,8. Monetization & launch,Launch,Analytics + crash reporting,,To do,
8.6,8. Monetization & launch,Launch,Privacy policy,Required by the stores,To do,
8.7,8. Monetization & launch,Launch,Store builds and listings,EAS builds; Play Store listing; iOS TestFlight,To do,
D.1,D. Open decisions,Multiplayer,Equal turns rule when someone reaches HOME,,Done,Built as proposed
D.2,D. Open decisions,Multiplayer,"Points table (win +50, home +20, under par +5/kick, shortcut +10, streak +5)",,To decide,Proposed - tune
D.3,D. Open decisions,Backend,Login method: phone number or Google (after anonymous start),,To decide,Open
D.4,D. Open decisions,Economy,Currency name: bob / shilingi / other,,To decide,Open
D.5,D. Open decisions,Royale,Royale timing: scheduled evening event vs any time,,To decide,Open
D.6,D. Open decisions,Rules,Tie: sudden-death kick closest to HOME centre,,To decide,Proposed - confirm
D.7,D. Open decisions,Rules,A kick may slide over at most one spiral line (stops one-kick wins from START into HOME),"Crossing 2+ lines = too far, back to start",Done,Decided and built
